Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
RBPMSLP	RNA binding protein with multiple splicing-like pseudogene	54032		
RBS~withdrawn	symbol withdrawn, see ESCO2			
RBSN	rabenosyn, RAB effector	64145	MGI:1925537	NM_022340
RBTN1~withdrawn	symbol withdrawn, see LMO1			
RBTNL1~withdrawn	symbol withdrawn, see LMO2			
RBTNL2~withdrawn	symbol withdrawn, see LMO3			
RBX1	ring-box 1	9978	MGI:1891829	NM_014248
RC3H1	ring finger and CCCH-type domains 1	149041	MGI:2685397	NM_172071
RC3H1-IT1	RC3H1 intronic transcript 1			
RC3H2	ring finger and CCCH-type domains 2	54542	MGI:2442789	NM_018835
RCA1	renal carcinoma associated 1			
RCAN1	regulator of calcineurin 1	1827	MGI:1890564	
RCAN2	regulator of calcineurin 2	10231	MGI:1858219	
RCAN3	RCAN family member 3	11123	MGI:1858220	
RCAN3AS	RCAN3 antisense	100750325		NR_045408
RCBTB1	RCC1 and BTB domain containing protein 1	55213	MGI:1918580	NM_018191
RCBTB2	RCC1 and BTB domain containing protein 2	1102	MGI:1917200	NM_001268
RCBTB2P1	RCC1 and BTB domain containing protein 2 pseudogene 1	100130253		NG_022152
RCC1	regulator of chromosome condensation 1	1104	MGI:1913989	NM_001269
RCC1L	RCC1 like	81554	MGI:2137600	NM_030798
RCC2	regulator of chromosome condensation 2	55920	MGI:1919784	NM_018715
RCC2P1	regulator of chromosome condensation 2 pseudogene 1	650983		
RCC2P2	regulator of chromosome condensation 2 pseudogene 2	100421075		
RCC2P3	regulator of chromosome condensation 2 pseudogene 3	100131932		
RCC2P4	regulator of chromosome condensation 2 pseudogene 4	100421090		
RCC2P5	regulator of chromosome condensation 2 pseudogene 5	100131442		
RCC2P6	regulator of chromosome condensation 2 pseudogene 6	100421131		
RCC2P7	regulator of chromosome condensation 2 pseudogene 7	442221		
RCC2P8	regulator of chromosome condensation 2 pseudogene 8	100129714		
RCCD1	RCC1 domain containing 1	91433	MGI:2444156	NM_033544
RCD1	retinal cone dystrophy 1			
RCE1	Ras converting CAAX endopeptidase 1	9986	MGI:1336895	NM_005133
RCE1A~withdrawn	symbol withdrawn, see RCE1			
RCH1~withdrawn	symbol withdrawn, see KPNA2			
RCHY1	ring finger and CHY zinc finger domain containing 1	25898	MGI:1915348	NM_015436
RCL1	RNA terminal phosphate cyclase like 1	10171	MGI:1913275	NM_005772
RCN~withdrawn	symbol withdrawn, see RCN1			
RCN1	reticulocalbin 1	5954	MGI:104559	NM_002901
RCN1P1	reticulocalbin 1 pseudogene 1	442234		
RCN1P2	reticulocalbin 1 pseudogene 2	728913		NG_006546
RCN2	reticulocalbin 2	5955	MGI:1349765	NM_002902
RCN3	reticulocalbin 3	57333	MGI:1277122	NM_020650
RCOR1	REST corepressor 1	23186	MGI:106340	NM_015156
RCOR2	REST corepressor 2	283248	MGI:1859854	NM_173587
RCOR3	REST corepressor 3	55758	MGI:2441920	NM_018254
RCP~withdrawn	symbol withdrawn, see OPN1LW			
RCSD1	RCSD domain containing 1	92241	MGI:2676394	NM_052862
RCVRN	recoverin	5957	MGI:97883	NM_002903
RD~withdrawn	symbol withdrawn, see ERMAP			
RD3	retinal degeneration 3	343035	MGI:1921273	NM_183059
RD3L	retinal degeneration 3-like	647286	MGI:2675860	NM_001257268
RDH1~withdrawn	symbol withdrawn, see RDH5			
RDH5	retinol dehydrogenase 5	5959	MGI:1201412	NM_002905
RDH8	retinol dehydrogenase 8 (all-trans)	50700	MGI:2685028	
RDH10	retinol dehydrogenase 10	157506	MGI:1924238	
RDH10-AS1	RDH10 antisense RNA 1	101926926		NR_125388
RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	51109	MGI:102581	
RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)	145226	MGI:1925224	
RDH13	retinol dehydrogenase 13	112724	MGI:1918732	NM_138412
RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	57665	MGI:1920402	
RDH16	retinol dehydrogenase 16 (all-trans)	8608	MGI:1195275, MGI:1201375, MGI:1860517, MGI:2143528, MGI:2678390, MGI:3583955	NM_003708
RDM1	RAD52 motif containing 1	201299	MGI:1913849	NM_145654
RDRC~withdrawn	symbol withdrawn, see SLC1A5			
RDT~withdrawn	entry withdrawn			
RDX	radixin	5962	MGI:97887	NM_002906
RDXP1	radixin pseudogene 1	643244		
RDXP2	radixin pseudogene 2	5964		NG_000867
REC8	REC8 meiotic recombination protein	9985	MGI:1929645	NM_005132
REC114	REC114 meiotic recombination protein	283677	MGI:1920923	NM_001042367
RECA~withdrawn	symbol withdrawn, see RAD51			
RECK	reversion inducing cysteine rich protein with kazal motifs	8434	MGI:1855698	
RECQL	RecQ like helicase	5965	MGI:103021	NM_002907
RECQL4	RecQ like helicase 4	9401	MGI:1931028	NM_004260
RECQL5	RecQ like helicase 5	9400	MGI:2156841	NM_004259
REELD1	reeler domain containing 1	345051		
REEP1	receptor accessory protein 1	65055	MGI:1098827	NM_022912
REEP2	receptor accessory protein 2	51308	MGI:2385070	NM_016606
REEP3	receptor accessory protein 3	221035	MGI:88930	NM_001001330
REEP4	receptor accessory protein 4	80346	MGI:1919799	NM_025232
REEP5	receptor accessory protein 5	7905	MGI:1270152	NM_005669
REEP6	receptor accessory protein 6	92840	MGI:1917585	NM_138393
REG1A	regenerating family member 1 alpha	5967	MGI:97895, MGI:97896	NM_002909
REG1B	regenerating family member 1 beta	5968	MGI:97895, MGI:97896	NM_006507
REG1CP	regenerating family member 1 gamma, pseudogene	5969		NR_002714
REG3A	regenerating family member 3 alpha	5068	MGI:109408, MGI:97478	NM_002580
REG3G	regenerating family member 3 gamma	130120	MGI:109406	NM_198448
REG4	regenerating family member 4	83998	MGI:1914959	NM_032044
REL	REL proto-oncogene, NF-kB subunit	5966	MGI:97897	NM_002908
RELA	RELA proto-oncogene, NF-kB subunit	5970	MGI:103290	NM_021975
RELB	RELB proto-oncogene, NF-kB subunit	5971	MGI:103289	
RELL1	RELT like 1	768211	MGI:2140767	NM_001085400
RELL2	RELT like 2	285613	MGI:1918044	NM_173828
RELN	reelin	5649	MGI:103022	NM_005045
RELT	RELT, TNF receptor	84957	MGI:2443373	NM_032871
REM1	RRAD and GEM like GTPase 1	28954	MGI:1097696	NM_014012
REM2	RRAD and GEM like GTPase 2	161253	MGI:2155260	NM_173527
REN	renin	5972	MGI:97898	NM_000537
RENBP	renin binding protein	5973	MGI:105940	NM_002910
RENS1~withdrawn	symbol withdrawn, see PQBP1			
RENS2	Renpenning syndrome 2			
REP15	RAB15 effector protein	387849	MGI:1913782	NM_001029874
REPIN1	replication initiator 1	29803	MGI:1889817	NM_014374
REPS1	RALBP1 associated Eps domain containing 1	85021	MGI:1196373	
REPS2	RALBP1 associated Eps domain containing 2	9185	MGI:2663511	NM_004726
RER1	retention in endoplasmic reticulum sorting receptor 1	11079	MGI:1915080	
RERE	arginine-glutamic acid dipeptide repeats	473	MGI:2683486	
REREP1Y	arginine-glutamic acid dipeptide repeats pseudogene 1, Y-linked			
REREP2Y	arginine-glutamic acid dipeptide repeats pseudogene 2, Y-linked			
REREP3	arginine-glutamic acid dipeptide repeats pseudogene 3	646396		NR_033735
RERG	RAS like estrogen regulated growth inhibitor	85004	MGI:2665139	NM_032918
RERG-AS1	RERG antisense RNA 1			
RERG-IT1	RERG intronic transcript 1			
RERGL	RERG like	79785	MGI:3642998	NM_024730
RESP18	regulated endocrine specific protein 18	389075	MGI:1098222	NM_001007089
REST	RE1 silencing transcription factor	5978	MGI:104897	NM_005612
RET	ret proto-oncogene	5979	MGI:97902	NM_020975
RETN	resistin	56729	MGI:1888506	NM_020415
RETNLB	resistin like beta	84666	MGI:1888504	
RETREG1	reticulophagy regulator 1	54463	MGI:1913520	NM_001034850
RETREG2	reticulophagy regulator family member 2	79137	MGI:2388278	NM_024293
RETREG3	reticulophagy regulator family member 3	162427	MGI:1915248	NM_178126
RETSAT	retinol saturase	54884	MGI:1914692	NM_017750
REV1	REV1, DNA directed polymerase	51455	MGI:1929074	NM_016316
REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	5980	MGI:1337131	NM_002912
REV3L-IT1	REV3L intronic transcript 1			
REX1BD	required for excision 1-B domain containing	55049	MGI:1913712	NM_017967
REXO1	RNA exonuclease 1 homolog	57455	MGI:1914182	NM_020695
REXO1L1P	REXO1 like 1, pseudogene	254958		NM_172239
REXO1L2P	REXO1 like 2, pseudogene	100288527		NR_003594
REXO1L3P	REXO1 like 3, pseudogene	441359		XM_496981
REXO1L4P	REXO1 like 4, pseudogene	653042		
REXO1L5P	REXO1 like 5, pseudogene	107986879		
REXO1L6P	REXO1 like 6, pseudogene	441362		NG_016769
REXO1L7P~withdrawn	symbol withdrawn, see REXO1L6P			
REXO1L8P	REXO1 like 8, pseudogene	392242		NG_009604.1
REXO1L9P	REXO1 like 9, pseudogene	100506246		
REXO1L10P	REXO1 like 10, pseudogene	100288500		
REXO1L11P	REXO1 like 11, pseudogene	100288470		
REXO1L12P	REXO1 like 12, pseudogene	100289448		
REXO2	RNA exonuclease 2	25996	MGI:1888981	NM_015523
REXO4	REX4 homolog, 3'-5' exonuclease	57109	MGI:2684957	
REXO5	RNA exonuclease 5	81691		NM_030941
RFC1	replication factor C subunit 1	5981	MGI:97891	NM_002913
RFC2	replication factor C subunit 2	5982	MGI:1341868	NM_181471
RFC3	replication factor C subunit 3	5983	MGI:1916513	NM_002915
RFC3P1	replication factor C 3 pseudogene 1	100131711		
RFC4	replication factor C subunit 4	5984	MGI:2146571	NM_002916
RFC5	replication factor C subunit 5	5985	MGI:1919401	NM_007370
RFC5P1	replication factor C 5 pseudogene 1	100421549		
RFESD	Rieske Fe-S domain containing	317671	MGI:2145198	NM_173362
RFESDP1	Rieske (Fe-S) domain containing pseudogene 1	100129167		
RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase	117584	MGI:1914588	NM_057178
RFK	riboflavin kinase	55312	MGI:1914688	NM_018339
RFKP1	riboflavin kinase pseudogene 1	100313962		NG_016107
RFKP2	riboflavin kinase pseudogene 2	100132753		NG_016114
RFLNA	refilin A	144347	MGI:1920371	NM_181709
RFLNB	refilin B	359845	MGI:1923816	NM_182705
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	5986	MGI:894275	NM_002917
RFP2OS~withdrawn	symbol withdrawn, see DLEU2			
RFPL1	ret finger protein like 1	5988		NM_021026
RFPL1S	RFPL1 antisense RNA 1	10740		NR_002727
RFPL2	ret finger protein like 2	10739		NM_006605
RFPL3	ret finger protein like 3	10738		NM_006604
RFPL3S	RFPL3 antisense	10737		
RFPL4A	ret finger protein like 4A	342931	MGI:2149590	XM_292796
RFPL4AL1	ret finger protein like 4A like 1	729974	MGI:2149590	
RFPL4AP1	ret finger protein like 4A pseudogene 1	646663		
RFPL4AP2	ret finger protein like 4A pseudogene 2	100420059		
RFPL4AP3	ret finger protein like 4A pseudogene 3			
RFPL4AP4	ret finger protein like 4A pseudogene 4	100420036		
RFPL4AP5	ret finger protein like 4A pseudogene 5	100420058		
RFPL4AP6	ret finger protein like 4A pseudogene 6	100130079		
RFPL4AP7	ret finger protein like 4A pseudogene 7	100420055		
RFPL4B	ret finger protein like 4B	442247	MGI:2684908	NM_001013734
RFT1	RFT1 homolog	91869	MGI:3607791	NM_052859
RFTN1	raftlin, lipid raft linker 1	23180	MGI:1923688	NM_015150
RFTN1P1	raftlin, lipid raft linker 1 pseudogene 1	360015		NG_002933
RFTN2	raftlin family member 2	130132	MGI:1921263	NM_144629
RFWD2	ring finger and WD repeat domain 2	64326	MGI:1347046	NM_022457
RFWD2P1	ring finger and WD repeat domain 2, E3 ubiquitin protein ligase pseudogene 1	729391		
RFWD3	ring finger and WD repeat domain 3	55159	MGI:2384584	NM_018124
RFX1	regulatory factor X1	5989	MGI:105982	NM_002918
RFX2	regulatory factor X2	5990	MGI:106583	NM_000635
RFX3	regulatory factor X3	5991	MGI:106582	NM_002919
RFX3-AS1	RFX3 antisense RNA 1	101929302		NR_121586
RFX4	regulatory factor X4	5992	MGI:1918387	NM_032491
RFX5	regulatory factor X5	5993	MGI:1858421	NM_000449
RFX6	regulatory factor X6	222546	MGI:2445208	NM_173560
RFX7	regulatory factor X7	64864	MGI:2442675	NM_022841
RFX8	RFX family member 8, lacking RFX DNA binding domain	731220	MGI:3588206	NM_001145664
RFXANK	regulatory factor X associated ankyrin containing protein	8625	MGI:1333865	NM_003721
RFXAP	regulatory factor X associated protein	5994	MGI:2180854	NM_000538
RGCC	regulator of cell cycle	28984	MGI:1913464	NM_014059
RGL1	ral guanine nucleotide dissociation stimulator like 1	23179	MGI:107484	NM_015149
RGL2	ral guanine nucleotide dissociation stimulator like 2	5863	MGI:107483	
RGL3	ral guanine nucleotide dissociation stimulator like 3	57139	MGI:1918996	XM_290867
RGL4	ral guanine nucleotide dissociation stimulator like 4	266747		NM_153615
RGMA	repulsive guidance molecule family member a	56963	MGI:2679262	NM_020211
RGMB	repulsive guidance molecule family member b	285704	MGI:1916049	NM_173670
RGMB-AS1	RGMB antisense RNA 1	503569		NR_033932
RGN	regucalcin	9104	MGI:108024	NM_004683
RGP1	RGP1 homolog, RAB6A GEF complex partner 1	9827	MGI:1915956	NM_014785
RGPD1	RANBP2-like and GRIP domain containing 1	400966		NM_001024457
RGPD2	RANBP2-like and GRIP domain containing 2	729857		NM_001078170
RGPD3	RANBP2-like and GRIP domain containing 3	653489		XM_929931
RGPD4	RANBP2-like and GRIP domain containing 4	285190		XM_496581
RGPD4-AS1	RGPD4 antisense RNA 1 (head to head)	729121		
RGPD5	RANBP2-like and GRIP domain containing 5	84220		NM_005054
RGPD6	RANBP2-like and GRIP domain containing 6	729540		NM_001123363
RGPD8	RANBP2-like and GRIP domain containing 8	727851		XM_001722279
RGR	retinal G protein coupled receptor	5995	MGI:1929473	NM_002921
RGS1	regulator of G protein signaling 1	5996	MGI:1354694	NM_002922
RGS2	regulator of G protein signaling 2	5997	MGI:1098271	NM_002923
RGS3	regulator of G protein signaling 3	5998	MGI:1354734	NM_017790
RGS4	regulator of G protein signaling 4	5999	MGI:108409	NM_005613
RGS5	regulator of G protein signaling 5	8490	MGI:1098434	NM_003617
RGS6	regulator of G protein signaling 6	9628	MGI:1354730	
RGS7	regulator of G protein signaling 7	6000	MGI:1346089	NM_002924
RGS7BP	regulator of G protein signaling 7 binding protein	401190	MGI:106334	NM_001029875
RGS8	regulator of G protein signaling 8	85397	MGI:108408	NM_033345
RGS9	regulator of G protein signaling 9	8787	MGI:1338824	NM_003835
RGS9BP	regulator of G protein signaling 9 binding protein	388531	MGI:2384418	NM_207391
RGS10	regulator of G protein signaling 10	6001	MGI:1915115	NM_002925
RGS11	regulator of G protein signaling 11	8786	MGI:1354739	
RGS12	regulator of G protein signaling 12	6002	MGI:1918979	NM_002926
RGS13	regulator of G protein signaling 13	6003	MGI:2180585	NM_002927
RGS14	regulator of G protein signaling 14	10636	MGI:1859709	NM_006480
RGS16	regulator of G protein signaling 16	6004	MGI:108407	NM_002928
RGS17	regulator of G protein signaling 17	26575	MGI:1927469	
RGS17P1	regulator of G protein signaling 17 pseudogene 1	100128628		
RGS18	regulator of G protein signaling 18	64407	MGI:1927498	NM_130782
RGS19	regulator of G protein signaling 19	10287	MGI:1915153	NM_005873
RGS20	regulator of G protein signaling 20	8601	MGI:1929866	
RGS21	regulator of G protein signaling 21	431704	MGI:3645243	
RGS22	regulator of G protein signaling 22	26166	MGI:3613651	NM_015668
RGSL1	regulator of G protein signaling like 1	353299	MGI:2685048	NM_181572
RGSL2~withdrawn	symbol withdrawn, see RGSL1			
RH~withdrawn	symbol withdrawn, see RHD and RHCE			
RHAG	Rh associated glycoprotein	6005	MGI:1202713	
RHBDD1	rhomboid domain containing 1	84236	MGI:1924117	
RHBDD2	rhomboid domain containing 2	57414	MGI:1915612	NM_020684
RHBDD3	rhomboid domain containing 3	25807	MGI:2444684	NM_012265
RHBDF1	rhomboid 5 homolog 1	64285	MGI:104328	NM_022450
RHBDF1P1	RHBDF1 pseudogene 1	131973		
RHBDF2	rhomboid 5 homolog 2	79651	MGI:2442473	NM_024599
RHBDL1	rhomboid like 1	9028	MGI:2384891	NM_003961
RHBDL2	rhomboid like 2	54933	MGI:3608413	NM_017821
RHBDL3	rhomboid like 3	162494	MGI:2179276	NM_138328
RHBDL4~withdrawn	symbol withdrawn, see RHBDL3			
RHBG	Rh family B glycoprotein (gene/pseudogene)	57127	MGI:1927379	NM_001256395
RHCE	Rh blood group CcEe antigens	6006		NM_020485
RHCG	Rh family C glycoprotein	51458	MGI:1888517	NM_016321
RHD	Rh blood group D antigen	6007	MGI:1202882	NM_016124
RHEB	Ras homolog, mTORC1 binding	6009	MGI:97912	NM_005614
RHEBL1	RHEB like 1	121268	MGI:1916409	NM_144593
RHEBP1	RHEB pseudogene 1	6008		
RHEBP2	RHEB pseudogene 2	101060032		
RHEBP3	RHEB pseudogene 3	692231		NG_005692
RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1	83695	MGI:1915315	NM_031465
RHO	rhodopsin	6010	MGI:97914	NM_000539
RHOA	ras homolog family member A	387	MGI:1096342	NM_001664
RHOA-IT1	RHOA intronic transcript 1			
RHOB	ras homolog family member B	388	MGI:107949	NM_004040
RHOBTB1	Rho related BTB domain containing 1	9886	MGI:1916538	
RHOBTB2	Rho related BTB domain containing 2	23221	MGI:2180557	
RHOBTB3	Rho related BTB domain containing 3	22836	MGI:1920546	NM_014899
RHOC	ras homolog family member C	389	MGI:106028	NM_175744
RHOD	ras homolog family member D	29984	MGI:108446	NM_014578
RHOF	ras homolog family member F, filopodia associated	54509	MGI:1345629	
RHOG	ras homolog family member G	391	MGI:1928370	NM_001665
RHOH	ras homolog family member H	399	MGI:1921984	NM_004310
RHOJ	ras homolog family member J	57381	MGI:1931551	
RHOQ	ras homolog family member Q	23433	MGI:1931553	NM_012249
RHOQP1	ras homolog family member Q pseudogene 1	319093		
RHOQP2	ras homolog family member Q pseudogene 2	730041		
RHOQP3	ras homolog family member Q pseudogene 3	284988		
RHOT1	ras homolog family member T1	55288	MGI:1926078	NM_018307
RHOT1P1	ras homolog family member T1 pseudogene 1	100462813		NG_026314
RHOT1P2	ras homolog family member T1 pseudogene 2	100462811		
RHOT1P3	ras homolog family member T1 pseudogene 3	100462810		
RHOT2	ras homolog family member T2	89941	MGI:2384892	NM_138769
RHOU	ras homolog family member U	58480	MGI:1916831	NM_021205
RHOV	ras homolog family member V	171177	MGI:2444227	
RHOXF1	Rhox homeobox family member 1	158800		NM_139282
RHOXF1-AS1	RHOXF1 antisense RNA 1	101928969		
RHOXF1P1	Rhox homeobox family member 1 pseudogene 1	101928941		
RHOXF1P2	Rhox homeobox family member 1 pseudogene 2	107075106		
RHOXF1P3	Rhox homeobox family member 1 pseudogene 3	107075307		
RHOXF2	Rhox homeobox family member 2	84528		NM_032498
RHOXF2B	Rhox homeobox family member 2B	727940		NM_001099685
RHPN1	rhophilin Rho GTPase binding protein 1	114822	MGI:1098783	
RHPN1-AS1	RHPN1 antisense RNA 1 (head to head)	78998		NR_026785
RHPN2	rhophilin Rho GTPase binding protein 2	85415	MGI:1289234	NM_033103
RHPN2P1	rhophilin Rho GTPase binding protein 2 pseudogene 1	646090		XR_017120
RIBC1	RIB43A domain with coiled-coils 1	158787	MGI:1913861	NM_144968
RIBC2	RIB43A domain with coiled-coils 2	26150	MGI:1914997	NM_015653
RIC1	RIC1 homolog, RAB6A GEF complex partner 1	57589	MGI:1924893	XM_039698
RIC3	RIC3 acetylcholine receptor chaperone	79608	MGI:2443887	NM_024557
RIC8A	RIC8 guanine nucleotide exchange factor A	60626	MGI:2141866	NM_021932
RIC8B	RIC8 guanine nucleotide exchange factor B	55188	MGI:2682307	NM_018157
RICTOR	RPTOR independent companion of MTOR complex 2	253260	MGI:1926007	NM_152756
RIDA	reactive intermediate imine deaminase A homolog	10247	MGI:1095401	NM_005836
RIEG1~withdrawn	symbol withdrawn, see PITX2			
RIEG2	Rieger syndrome 2			
RIF1	replication timing regulatory factor 1	55183	MGI:1098622	
RIIAD1	regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1	284485	MGI:1913603	NM_001144956
RILP	Rab interacting lysosomal protein	83547	MGI:2144271	NM_031430
RILPL1	Rab interacting lysosomal protein like 1	353116	MGI:1922945	NM_178314
RILPL2	Rab interacting lysosomal protein like 2	196383	MGI:1933112	NM_145058
RIMBP2	RIMS binding protein 2	23504	MGI:2443235	NM_015347
RIMBP3	RIMS binding protein 3	85376	MGI:2685449	NM_015672
RIMBP3B	RIMS binding protein 3B	440804		XM_036936
RIMBP3C	RIMS binding protein 3C	150221		XM_036942
RIMKLA	ribosomal modification protein rimK like family member A	284716	MGI:3040686	NM_173642
RIMKLB	ribosomal modification protein rimK like family member B	57494	MGI:1918325	NM_020734
RIMKLBP1	ribosomal modification protein rimK like family member B pseudogene 1	54031		NG_000912
RIMKLBP2	ribosomal modification protein rimK like family member B pseudogene 2			
RIMKLP~withdrawn	symbol withdrawn, see RIMKLBP1			
RIMS1	regulating synaptic membrane exocytosis 1	22999	MGI:2152971	NM_014989
RIMS2	regulating synaptic membrane exocytosis 2	9699	MGI:2152972	NM_001100117
RIMS3	regulating synaptic membrane exocytosis 3	9783	MGI:2443331	NM_014747
RIMS4	regulating synaptic membrane exocytosis 4	140730	MGI:2674366	NM_182970
RIN1	Ras and Rab interactor 1	9610	MGI:2385695	NM_004292
RIN2	Ras and Rab interactor 2	54453	MGI:1921280	
RIN3	Ras and Rab interactor 3	79890	MGI:2385708	
RING1	ring finger protein 1	6015	MGI:1101770	
RINL	Ras and Rab interactor like	126432	MGI:2444024	NM_198445
RINT1	RAD50 interactor 1	60561	MGI:1916233	NM_021930
RIOK1	RIO kinase 1	83732	MGI:1918590	NM_031480
RIOK2	RIO kinase 2	55781	MGI:1914295	NM_018343
RIOK3	RIO kinase 3	8780	MGI:1914128	NM_003831
RIOK3P1	RIO kinase 3 pseudogene 1	122145		
RIOX1	ribosomal oxygenase 1	79697	MGI:1919202	NM_024644
RIOX2	ribosomal oxygenase 2	84864	MGI:1914264	NM_032778
RIPK1	receptor interacting serine/threonine kinase 1	8737	MGI:108212	NM_003804
RIPK2	receptor interacting serine/threonine kinase 2	8767	MGI:1891456	
RIPK3	receptor interacting serine/threonine kinase 3	11035	MGI:2154952	NM_006871
RIPK4	receptor interacting serine/threonine kinase 4	54101	MGI:1919638	NM_020639
RIPOR1	RHO family interacting cell polarization regulator 1	79567	MGI:1922937	NM_024519
RIPOR2	RHO family interacting cell polarization regulator 2	9750	MGI:2444879	
RIPOR3	RIPOR family member 3	140876	MGI:1916803	
RIPPLY1	ripply transcriptional repressor 1	92129	MGI:3614797	
RIPPLY2	ripply transcriptional repressor 2	134701	MGI:2685968	NM_001009994
RIPPLY3	ripply transcriptional repressor 3	53820	MGI:2181192	
RIPPLY3P1	RIPPLY3 pseudogene 1	100421053		NG_027264
RIR~withdrawn	symbol withdrawn, see APBB1			
RIT1	Ras like without CAAX 1	6016	MGI:108053	NM_006912
RIT2	Ras like without CAAX 2	6014	MGI:108054	NM_002930
RITA1	RBPJ interacting and tubulin associated 1	84934	MGI:1922021	NM_032848
RLBP1	retinaldehyde binding protein 1	6017	MGI:97930	NM_000326
RLF	rearranged L-myc fusion	6018	MGI:1924705	NM_012421
RLFP1	rearranged L-myc fusion pseudogene 1	57008		NG_001289
RLIM	ring finger protein, LIM domain interacting	51132	MGI:1342291	NM_016120
RLIMP1	ring finger protein, LIM domain interacting pseudogene 1			
RLIMP2	ring finger protein, LIM domain interacting pseudogene 2			
RLIMP3	ring finger protein, LIM domain interacting pseudogene 3	645453		
RLN1	relaxin 1	6013	MGI:97931	
RLN2	relaxin 2	6019	MGI:97931	NM_134441
RLN3	relaxin 3	117579	MGI:2158015	
RLNL~withdrawn	symbol withdrawn, see INSL3			
RMCH~withdrawn	symbol withdrawn, see CNGB3			
RMD1	rippling muscle disease 1			
RMDN1	regulator of microtubule dynamics 1	51115	MGI:1913552	NM_016033
RMDN2	regulator of microtubule dynamics 2	151393	MGI:2147043	NM_144713
RMDN2-AS1	RMDN2 antisense RNA 1			
RMDN3	regulator of microtubule dynamics 3	55177	MGI:1915059	NM_018145
RMI1	RecQ mediated genome instability 1	80010	MGI:1921636	NM_024945
RMI2	RecQ mediated genome instability 2	116028	MGI:2685383	NM_152308
RMND1	required for meiotic nuclear division 1 homolog	55005	MGI:1913334	NM_017909
RMND5A	required for meiotic nuclear division 5 homolog A	64795	MGI:1915727	NM_022780
RMND5B	required for meiotic nuclear division 5 homolog B	64777	MGI:1913339	NM_022762
RMRP	RNA component of mitochondrial RNA processing endoribonuclease	6023		NR_003051
RMRPP1~withdrawn	entry withdrawn			
RMRPP2~withdrawn	entry withdrawn			
RMRPP3~withdrawn	entry withdrawn			
RMRPP4~withdrawn	entry withdrawn			
RMRPP5	RNA component of mitochondrial RNA processing endoribonuclease pseudogene 5	106481874		
RMSA1~withdrawn	entry withdrawn			
RMST	rhabdomyosarcoma 2 associated transcript (non-protein coding)	196475		NR_024037
RN5S~withdrawn	symbol withdrawn, see RN5S1@			
RN5S1@	RNA, 5S ribosomal 1q42 cluster			
RN5S2@~withdrawn	entry withdrawn			
RN5S3@~withdrawn	entry withdrawn			
RN7SK	RNA, 7SK small nuclear	125050	MGI:103186	NR_001445
RN7SKL~withdrawn	entry withdrawn			
RN7SKP1	RNA, 7SK small nuclear pseudogene 1	100873845		
RN7SKP2	RNA, 7SK small nuclear pseudogene 2	100873846		
RN7SKP3	RNA, 7SK small nuclear pseudogene 3	100873847		
RN7SKP4	RNA, 7SK small nuclear pseudogene 4	100873848		
RN7SKP5	RNA, 7SK small nuclear pseudogene 5	100873849		
RN7SKP6	RNA, 7SK small nuclear pseudogene 6	100873850		
RN7SKP7	RNA, 7SK small nuclear pseudogene 7	100873851		
RN7SKP8	RNA, 7SK small nuclear pseudogene 8	100873852		
RN7SKP9	RNA, 7SK small nuclear pseudogene 9	100873853		
RN7SKP10	RNA, 7SK small nuclear pseudogene 10	100873873		
RN7SKP11	RNA, 7SK small nuclear pseudogene 11	106479099		
RN7SKP12	RNA, 7SK small nuclear pseudogene 12	106480836		
RN7SKP13	RNA, 7SK small nuclear pseudogene 13	106479100		
RN7SKP14	RNA, 7SK small nuclear pseudogene 14	106479101		
RN7SKP15	RNA, 7SK small nuclear pseudogene 15	106480456		
RN7SKP16	RNA, 7SK small nuclear pseudogene 16	106480837		
RN7SKP17	RNA, 7SK small nuclear pseudogene 17	106479102		
RN7SKP18	RNA, 7SK small nuclear pseudogene 18	106480838		
RN7SKP19	RNA, 7SK small nuclear pseudogene 19	106479103		
RN7SKP20	RNA, 7SK small nuclear pseudogene 20	106479104		
RN7SKP21	RNA, 7SK small nuclear pseudogene 21	106480839		
RN7SKP22	RNA, 7SK small nuclear pseudogene 22	106481805		
RN7SKP23	RNA, 7SK small nuclear pseudogene 23	106479105		
RN7SKP24	RNA, 7SK small nuclear pseudogene 24	106480840		
RN7SKP25	RNA, 7SK small nuclear pseudogene 25	106480364		
RN7SKP26	RNA, 7SK small nuclear pseudogene 26	106479106		
RN7SKP27	RNA, 7SK small nuclear pseudogene 27	106480841		
RN7SKP28	RNA, 7SK small nuclear pseudogene 28	106479107		
RN7SKP29	RNA, 7SK small nuclear pseudogene 29	106480457		
RN7SKP30	RNA, 7SK small nuclear pseudogene 30	106479108		
RN7SKP31	RNA, 7SK small nuclear pseudogene 31	106480842		
RN7SKP32	RNA, 7SK small nuclear pseudogene 32	106479109		
